danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,class
0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,spotify:track:3n69hLUdIsSa1WlRmjMZlW,227080,4,good
0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,spotify:track:6GmUVqe73u5YRfUUynZK6I,252733,4,good
0.405,0.64,4,-6.374,0,0.144,0.0185,0,0.103,0.265,169.913,spotify:track:1285n66OGGUB3Bnh6c18nS,191808,4,good
0.534,0.568,5,-8.221,1,0.0302,0.205,0.0000947,0.144,0.204,140.047,spotify:track:3xKTpGCsafXzV4muM1Hpl3,253893,4,good
0.591,0.808,9,-6.891,0,0.0452,0.341,0.0000329,0.101,0.544,148.006,spotify:track:6rT1BTeBQvUW7U9JuuGTWv,241933,4,good
0.69,0.608,2,-7.33,0,0.0382,0.147,0.0000238,0.079,0.602,137.141,spotify:track:5UH9wXaUHCZmP2EGZf2Ot4,193133,4,good
0.638,0.831,11,-6.812,0,0.081,0.0263,0,0.0491,0.388,127.975,spotify:track:5ZkAx8zjLiSs1nMmBwJoZS,218093,4,good
0.732,0.81,1,-5.45,1,0.0355,0.000998,0.0832,0.133,0.753,132.962,spotify:track:3kM1Rc8bQDNpAtXCiAhGV5,212253,4,good
0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,spotify:track:7BVwi9cIzSc6tpyxsp47vJ,223640,1,good
0.516,0.631,1,-6.796,1,0.0291,0.0273,0,0.233,0.222,89.988,spotify:track:1czmvHRWnCC7cUBOQsxBoa,190320,4,good
0.642,0.721,4,-9.765,1,0.0434,0.196,0.474,0.0926,0.438,124.997,spotify:track:6rsNOeNKdfJNXu44AFctBU,245280,4,good
0.636,0.657,6,-6.246,1,0.0422,0.601,0.0000126,0.0986,0.38,80.027,spotify:track:16tlhh3jNraThY2kgBlG4X,206293,4,good
0.574,0.764,2,-4.797,0,0.228,0.678,0.000974,0.116,0.473,160.044,spotify:track:4URU1lRXhWwZIXuxKI1SuH,221533,4,good
0.489,0.898,5,-4.369,1,0.0365,0.025,0.00000411,0.255,0.763,164.032,spotify:track:2Fh8q3YYsCG0VlNeJ3rb2w,183723,4,bad
0.563,0.772,5,-6.737,1,0.0593,0.00101,0.0000195,0.214,0.394,119.909,spotify:track:4YX7OBp0yoMwC6eZNNg5ky,180243,4,bad
0.384,0.446,11,-7.807,1,0.0299,0.252,0,0.185,0.399,180.181,spotify:track:4Bzs0eTQVVJxBSz4ljzics,191187,3,bad
0.474,0.594,11,-5.756,1,0.0289,0.0292,0,0.133,0.503,86.131,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,195987,4,bad
0.544,0.781,6,-6.16,0,0.0311,0.00585,0,0.191,0.527,144.075,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,221800,4,bad
0.386,0.799,2,-3.789,1,0.0555,0.201,0,0.103,0.391,86.333,spotify:track:3N2AIfVOq6NiTcWHIP4Oco,213024,4,bad
0.606,0.652,9,-6.982,1,0.0281,0.323,0,0.201,0.476,97.155,spotify:track:2u7Nm46dAujcAi5Rw79CJL,182493,4,bad
0.375,0.574,7,-5.305,1,0.0315,0.143,0,0.11,0.406,132.025,spotify:track:2ZxTjs4EdJl4Y9YByIiNoo,196800,3,bad
0.56,0.679,5,-4.527,1,0.0236,0.123,0.0000246,0.224,0.622,92.928,spotify:track:1Be8liECvEP5NYZjYvukbI,198467,4,bad
0.489,0.9,7,-3.563,1,0.0488,0.0441,0,0.247,0.611,200.054,spotify:track:3IPkbTA8KkdDXyWtGkfFXa,182693,4,bad
0.791,0.715,7,-5.809,1,0.0377,0.353,0,0.115,0.593,112.027,spotify:track:5H4YGepZNnPhnOHA9vZSEP,166787,4,bad
0.687,0.75,11,-4.537,1,0.0965,0.107,0.00000305,0.161,0.911,98.987,spotify:track:7M1PQZeyqslVtY5ZiYBGLo,172534,4,bad
0.588,0.868,10,-4.904,1,0.0384,0.0351,0,0.118,0.559,92.021,spotify:track:4EIW00kTdPSUDOJwkN80x5,183871,4,bad
0.846,0.711,0,-7.939,1,0.061,0.496,0,0.247,0.883,120.013,spotify:track:6UsoV6X96Rox9mfxoz7SFy,197840,4,bad
0.494,0.78,11,-3.825,1,0.064,0.368,0,0.0921,0.664,159.708,spotify:track:2gVBXeTjwL0ZEh9gjsQjk0,211427,4,bad
0.725,0.437,6,-9.602,1,0.0575,0.593,0,0.0842,0.759,83.985,spotify:track:6usHXaTn54uwwozmH00d3X,184080,4,bad
0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,163870,4,bad
