danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,qual
0.42,0.333,4,-9.366,1,0.0486,0.749,0.0000218,0.11,0.149,114.935,spotify:track:6pm60Fv613rRWDDWf8SH3y,253208,4,1
0.456,0.373,1,-9.441,0,0.0255,0.86,0.0347,0.086,0.105,89.962,spotify:track:02WdKVFWHoEB7NvhhWK1iJ,255716,4,1
0.616,0.334,1,-8.992,1,0.0303,0.956,0.0000145,0.0908,0.434,132.788,spotify:track:53tWgMGtefMvF6KIwY3kM9,196702,4,1
0.266,0.302,0,-10.159,1,0.0331,0.881,0.00428,0.128,0.147,124.733,spotify:track:1lKDEPX8WtSpospLT01asL,341049,3,1
0.763,0.515,0,-8.967,1,0.0268,0.836,0.0000534,0.208,0.808,114.021,spotify:track:3RJ94M75AJUntn8Zj5NLgR,205373,4,1
0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,spotify:track:3n69hLUdIsSa1WlRmjMZlW,227080,4,1
0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.244,74.897,spotify:track:6GmUVqe73u5YRfUUynZK6I,252733,4,1
0.405,0.64,4,-6.374,0,0.144,0.0185,0,0.103,0.265,169.913,spotify:track:1285n66OGGUB3Bnh6c18nS,191808,4,1
0.534,0.568,5,-8.221,1,0.0302,0.205,0.0000947,0.144,0.204,140.047,spotify:track:3xKTpGCsafXzV4muM1Hpl3,253893,4,1
0.591,0.808,9,-6.891,0,0.0452,0.341,0.0000329,0.101,0.544,148.006,spotify:track:6rT1BTeBQvUW7U9JuuGTWv,241933,4,1
0.69,0.608,2,-7.33,0,0.0382,0.147,0.0000238,0.079,0.602,137.141,spotify:track:5UH9wXaUHCZmP2EGZf2Ot4,193133,4,1
0.638,0.831,11,-6.812,0,0.081,0.0263,0,0.0491,0.388,127.975,spotify:track:5ZkAx8zjLiSs1nMmBwJoZS,218093,4,1
0.732,0.81,1,-5.45,1,0.0355,0.000998,0.0832,0.133,0.753,132.962,spotify:track:3kM1Rc8bQDNpAtXCiAhGV5,212253,4,1
0.595,0.723,7,-8.256,1,0.0349,0.047,0.0286,0.0995,0.272,108.043,spotify:track:7BVwi9cIzSc6tpyxsp47vJ,223640,1,1
0.516,0.631,1,-6.796,1,0.0291,0.0273,0,0.233,0.222,89.988,spotify:track:1czmvHRWnCC7cUBOQsxBoa,190320,4,1
0.642,0.721,4,-9.765,1,0.0434,0.196,0.474,0.0926,0.438,124.997,spotify:track:6rsNOeNKdfJNXu44AFctBU,245280,4,1
0.636,0.657,6,-6.246,1,0.0422,0.601,0.0000126,0.0986,0.38,80.027,spotify:track:16tlhh3jNraThY2kgBlG4X,206293,4,1
0.574,0.764,2,-4.797,0,0.228,0.678,0.000974,0.116,0.473,160.044,spotify:track:4URU1lRXhWwZIXuxKI1SuH,221533,4,1
0.489,0.898,5,-4.369,1,0.0365,0.025,0.00000411,0.255,0.763,164.032,spotify:track:2Fh8q3YYsCG0VlNeJ3rb2w,183723,4,0
0.563,0.772,5,-6.737,1,0.0593,0.00101,0.0000195,0.214,0.394,119.909,spotify:track:4YX7OBp0yoMwC6eZNNg5ky,180243,4,0
0.384,0.446,11,-7.807,1,0.0299,0.252,0,0.185,0.399,180.181,spotify:track:4Bzs0eTQVVJxBSz4ljzics,191187,3,0
0.474,0.594,11,-5.756,1,0.0289,0.0292,0,0.133,0.503,86.131,spotify:track:7Il2yWQmsqKgSkLQvHTPUI,195987,4,0
0.544,0.781,6,-6.16,0,0.0311,0.00585,0,0.191,0.527,144.075,spotify:track:4gB7HrYHbJVJ5RFOjxmoq4,221800,4,0
